FILE,CELL,N_Q570,N_Q670,N_GFP,dose,normalized_Q570
20200715_DT40_RELAGFP_CD83_M4_0.01ugml_04_R3D_D3D_Q570_outline.txt,Cell_CP_3,23,169,9,0.01,0.13609467455621302
20200715_DT40_RELAGFP_CD83_M4_0.01ugml_04_R3D_D3D_Q570_outline.txt,Cell_CP_4,8,147,16,0.01,0.05442176870748299
20200715_DT40_RELAGFP_CD83_M4_0.01ugml_04_R3D_D3D_Q570_outline.txt,Cell_CP_5,3,283,0,0.01,0.01060070671378092
20200715_DT40_RELAGFP_CD83_M4_0.01ugml_04_R3D_D3D_Q570_outline.txt,Cell_CP_6,1,92,3,0.01,0.010869565217391304
20200715_DT40_RELAGFP_CD83_M4_0.01ugml_04_R3D_D3D_Q570_outline.txt,Cell_CP_7,31,58,5,0.01,0.5344827586206896
20200715_DT40_RELAGFP_CD83_M4_0.01ugml_04_R3D_D3D_Q570_outline.txt,Cell_CP_8,0,168,1,0.01,0
20200715_DT40_RELAGFP_CD83_M4_0.01ugml_04_R3D_D3D_Q570_outline.txt,Cell_CP_9,37,117,6,0.01,0.3162393162393162
20200715_DT40_RELAGFP_CD83_M4_0.01ugml_04_R3D_D3D_Q570_outline.txt,Cell_CP_10,6,79,1,0.01,0.0759493670886076
20200715_DT40_RELAGFP_CD83_M4_0.01ugml_04_R3D_D3D_Q570_outline.txt,Cell_CP_11,24,89,0,0.01,0.2696629213483146
20200715_DT40_RELAGFP_CD83_M4_0.01ugml_04_R3D_D3D_Q570_outline.txt,Cell_CP_12,0,140,0,0.01,0
20200715_DT40_RELAGFP_CD83_M4_0.01ugml_04_R3D_D3D_Q570_outline.txt,Cell_CP_14,1,117,4,0.01,0.008547008547008548
20200715_DT40_RELAGFP_CD83_M4_0.01ugml_04_R3D_D3D_Q570_outline.txt,Cell_15,3,117,8,0.01,0.02564102564102564
20200715_DT40_RELAGFP_CD83_M4_0.01ugml_05_R3D_D3D_Q570_outline.txt,Cell_CP_2,1,131,7,0.01,0.007633587786259542
20200715_DT40_RELAGFP_CD83_M4_0.01ugml_05_R3D_D3D_Q570_outline.txt,Cell_CP_3,33,106,2,0.01,0.3113207547169811
20200715_DT40_RELAGFP_CD83_M4_0.01ugml_05_R3D_D3D_Q570_outline.txt,Cell_CP_4,3,94,10,0.01,0.031914893617021274
20200715_DT40_RELAGFP_CD83_M4_0.01ugml_05_R3D_D3D_Q570_outline.txt,Cell_CP_5,1,181,8,0.01,0.0055248618784530384
